miRBase,CID,Correlation
MIMAT0000254,3385,1
MIMAT0000254,47725,1
MIMAT0000783,89594,1
MIMAT0000783,2236,1
MIMAT0001268,74483,1
MIMAT0004538,443586,1
MIMAT0004556,3220,1
MIMAT0001771,74483,1
MIMAT0005826,54670067,1
MIMAT0005826,5280453,1
MIMAT0005826,6013,1
MIMAT0005837,443586,1
MIMAT0005847,443586,1
MIMAT0005850,443586,1
MIMAT0005850,6410,1
MIMAT0005860,443586,1
MIMAT0000416,60750,1
MIMAT0005871,119307,1
MIMAT0000246,5280343,1
MIMAT0000246,15625,1
MIMAT0000246,8490,1
MIMAT0000246,29327,1
MIMAT0000246,6410,1
MIMAT0000246,2336,1
MIMAT0000421,5793,1
MIMAT0000421,14888,1
MIMAT0000421,387447,1
MIMAT0000421,31703,1
MIMAT0000421,462382,1
MIMAT0000421,445434,1
MIMAT0000827,8029,1
MIMAT0000827,108065,1
MIMAT0000827,5743,1
MIMAT0000827,2236,1
MIMAT0001818,74483,1
MIMAT0000421,3229,1
MIMAT0017005,16078949,1
MIMAT0005460,10621,1
MIMAT0005460,443586,1
MIMAT0005460,8490,1
MIMAT0005572,54670067,1
MIMAT0005572,10635,1
MIMAT0005572,119307,1
MIMAT0005576,3385,1
MIMAT0005576,5790,1
MIMAT0005576,60838,1
MIMAT0005576,60700,1
MIMAT0005580,60823,1
MIMAT0005580,5311,1
MIMAT0005580,119307,1
MIMAT0005583,54670067,1
MIMAT0005584,5994,1
MIMAT0005584,3385,1
MIMAT0005584,47725,1
MIMAT0005593,3220,1
MIMAT0000134,16078949,1
MIMAT0000134,8490,1
MIMAT0000422,5311,1
MIMAT0000422,446220,1
MIMAT0000422,14888,1
MIMAT0001819,74483,1
MIMAT0001819,15625,1
MIMAT0004591,969516,1
MIMAT0005898,97226,1
MIMAT0005898,54670067,1
MIMAT0005898,3385,1
MIMAT0000134,5793,1
MIMAT0000134,210332,1
MIMAT0000422,24288,1
MIMAT0000422,3229,1
MIMAT0000422,5757,1
MIMAT0000422,1832,1
MIMAT0000422,2995,1
MIMAT0000422,3386,1
MIMAT0000422,4095,1
MIMAT0000422,4158,1
MIMAT0000422,6089,1
MIMAT0000828,444795,1
MIMAT0005903,3385,1
MIMAT0005944,3385,1
MIMAT0005906,60823,1
MIMAT0005907,72304,1
MIMAT0000135,5281004,1
MIMAT0000135,16741,1
MIMAT0001820,74483,1
MIMAT0004602,3229,1
MIMAT0004602,5283344,1
MIMAT0004602,3121,1
MIMAT0004602,712,1
MIMAT0004602,451668,1
MIMAT0004528,9064,1
MIMAT0000135,8490,1
MIMAT0000443,969516,1
MIMAT0000443,3385,1
MIMAT0000443,14888,1
MIMAT0000136,5280343,1
MIMAT0000136,5281004,1
MIMAT0000136,16741,1
MIMAT0000136,2907,1
MIMAT0000423,3220,1
MIMAT0000423,10836,1
MIMAT0000423,2336,1
MIMAT0000423,60953,1
MIMAT0000423,36462,1
MIMAT0000423,5288826,1
MIMAT0000423,3229,1
MIMAT0000423,119307,1
MIMAT0000423,14888,1
MIMAT0000423,451668,1
MIMAT0000423,9444,1
MIMAT0000423,24360,1
MIMAT0000423,2375,1
MIMAT0000423,47725,1
MIMAT0000423,5394,1
MIMAT0000423,446220,1
MIMAT0000830,444795,1
MIMAT0000830,89594,1
MIMAT0001821,74483,1
MIMAT0001821,15625,1
MIMAT0004669,443586,1
MIMAT0004730,4946,1
MIMAT0000136,6036,1
MIMAT0000136,8490,1
MIMAT0000136,6410,1
MIMAT0000830,6440495,1
MIMAT0001822,74483,1
MIMAT0000445,5280453,1
MIMAT0000445,444732,1
MIMAT0000445,36314,1
MIMAT0000445,5311,1
MIMAT0000445,5757,1
MIMAT0000445,712,1
MIMAT0000445,3229,1
MIMAT0000445,14888,1
MIMAT0000445,451668,1
MIMAT0001823,74483,1
MIMAT0000444,5757,1
MIMAT0000831,47289,1
MIMAT0005911,216239,1
MIMAT0015041,5280961,1
MIMAT0005914,3385,1
MIMAT0000138,6036,1
MIMAT0000138,8490,1
MIMAT0000138,6410,1
MIMAT0000138,210332,1
MIMAT0000445,448537,1
MIMAT0005921,60823,1
MIMAT0005922,3220,1
MIMAT0005922,3385,1
MIMAT0005922,119307,1
MIMAT0005922,54670067,1
MIMAT0000139,5757,1
MIMAT0000833,5757,1
MIMAT0005796,97226,1
MIMAT0000446,5311,1
MIMAT0005929,3385,1
MIMAT0004604,5793,1
MIMAT0005933,3385,1
MIMAT0000140,9064,1
MIMAT0000140,10621,1
MIMAT0000140,5280343,1
MIMAT0000140,8490,1
MIMAT0000424,5288826,1
MIMAT0000424,3229,1
MIMAT0000424,119307,1
MIMAT0000424,47725,1
MIMAT0000834,5743,1
MIMAT0000834,6440495,1
MIMAT0001824,74483,1
MIMAT0000424,3385,1
MIMAT0000424,5310940,1
MIMAT0005799,445580,1
MIMAT0005877,3385,1
MIMAT0000140,210332,1
MIMAT0000424,60750,1
MIMAT0000424,5757,1
MIMAT0000424,14888,1
MIMAT0000834,3028194,1
MIMAT0000834,3121,1
MIMAT0000600,4946,1
MIMAT0001825,74483,1
MIMAT0004605,119307,1
MIMAT0005880,3220,1
MIMAT0005880,216239,1
MIMAT0005880,119307,1
MIMAT0005881,216239,1
MIMAT0005881,73581,1
MIMAT0005881,31703,1
MIMAT0005881,4212,1
